pool,ent_id,day,activity,start,end,raw_time,source_url,fetched_at
Arpidrome,163,Dimanche,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Lundi,Longueurs,19:45,21:45,19 h 45 à 21 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Mardi,Longueurs,11:30,13:00,11 h 30 à 13 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Mercredi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Mercredi,Longueurs,11:30,13:00,11 h 30 à 13 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Mercredi,Longueurs,20:00,21:30,20 h à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Vendredi,Longueurs,11:30,13:00,11 h 30 à 13 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Arpidrome,163,Vendredi,Longueurs,19:45,21:45,19 h 45 à 21 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=163,2026-03-01T20:12:09Z
Centre communautaire Ferland,165,Lundi,Longueurs,12:00,13:20,12 h à 13 h 20,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=165,2026-03-01T20:12:10Z
Centre communautaire Ferland,165,Mardi,Longueurs,12:00,13:20,12 h à 13 h 20,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=165,2026-03-01T20:12:10Z
Centre communautaire Ferland,165,Mercredi,Longueurs,12:00,13:20,12 h à 13 h 20,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=165,2026-03-01T20:12:10Z
Centre communautaire Ferland,165,Vendredi,Longueurs,12:00,13:20,12 h à 13 h 20,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=165,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Lundi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Lundi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Mardi,Longueurs,07:00,08:25,7 h à 8 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Mardi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Mercredi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Mercredi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Jeudi,Longueurs,07:00,08:25,7 h à 8 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Jeudi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Vendredi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Lucien-Borne,320,Vendredi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=320,2026-03-01T20:12:10Z
Centre communautaire Michel-Labadie,166,Lundi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=166,2026-03-01T20:12:10Z
Centre communautaire Michel-Labadie,166,Mardi,Longueurs,12:00,13:15,12 h à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=166,2026-03-01T20:12:10Z
Centre communautaire Michel-Labadie,166,Mardi,Longueurs,19:00,20:25,19 h à 20 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=166,2026-03-01T20:12:10Z
Centre communautaire Michel-Labadie,166,Jeudi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=166,2026-03-01T20:12:10Z
Centre communautaire Michel-Labadie,166,Jeudi,Longueurs,19:00,20:25,19 h à 20 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=166,2026-03-01T20:12:10Z
Centre communautaire Michel-Labadie,166,Vendredi,Longueurs,11:50,13:15,11 h 50 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=166,2026-03-01T20:12:10Z
École secondaire de La Seigneurie,169,Dimanche,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Dimanche,Longueurs,15:15,16:45,15 h 15 à 16 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Lundi,Longueurs,20:30,21:30,20 h 30 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Mardi,Longueurs,19:30,21:30,19 h 30 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Mercredi,Longueurs,19:30,21:30,19 h 30 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Jeudi,Longueurs,19:30,21:30,19 h 30 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Vendredi,Longueurs,19:30,21:30,19 h 30 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Samedi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
École secondaire de La Seigneurie,169,Samedi,Longueurs,15:15,16:45,15 h 15 à 16 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=169,2026-03-01T20:12:11Z
Piscine de l'école L'Odyssée,175,Mardi,Longueurs,20:15,21:45,20 h 15 à 21 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=175,2026-03-01T20:12:12Z
Piscine de l'école L'Odyssée,175,Mercredi,Longueurs,06:30,08:00,6 h 30 à 8 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=175,2026-03-01T20:12:12Z
Piscine de l'école L'Odyssée,175,Jeudi,Longueurs,20:15,21:45,20 h 15 à 21 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=175,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Dimanche,Longueurs,15:00,16:00,15 h à 16 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Lundi,Longueurs,12:00,13:25,12 h à 13 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Mardi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Mardi,Longueurs,12:00,13:30,12 h à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Mercredi,Longueurs,12:00,13:30,12 h à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Jeudi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Jeudi,Longueurs,12:00,13:30,12 h à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Jeudi,Longueurs,20:00,21:00,20 h à 21 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Vendredi,Longueurs,12:00,13:25,12 h à 13 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine de l'édifice Denis-Giguère,172,Samedi,Longueurs,15:00,16:00,15 h à 16 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=172,2026-03-01T20:12:12Z
Piscine Jacques-Amyot,173,Dimanche,Longueurs,08:00,09:30,8 h à 9 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=173,2026-03-01T20:12:13Z
Piscine Jacques-Amyot,173,Mardi,Longueurs,11:55,12:45,11 h 55 à 12 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=173,2026-03-01T20:12:13Z
Piscine Jacques-Amyot,173,Mardi,Longueurs,20:15,21:30,20 h 15 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=173,2026-03-01T20:12:13Z
Piscine Jacques-Amyot,173,Jeudi,Longueurs,11:55,12:45,11 h 55 à 12 h 45,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=173,2026-03-01T20:12:13Z
Piscine Jacques-Amyot,173,Jeudi,Longueurs,20:15,21:30,20 h 15 à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=173,2026-03-01T20:12:13Z
Piscine Jules-Dallaire - Patro Roc-Amadour,333,Lundi,Longueurs,17:00,18:25,17 h à 18 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=333,2026-03-01T20:12:13Z
Piscine Jules-Dallaire - Patro Roc-Amadour,333,Mardi,Longueurs,12:00,13:25,12 h à 13 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=333,2026-03-01T20:12:13Z
Piscine Jules-Dallaire - Patro Roc-Amadour,333,Mercredi,Longueurs,17:00,18:25,17 h à 18 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=333,2026-03-01T20:12:13Z
Piscine Jules-Dallaire - Patro Roc-Amadour,333,Jeudi,Longueurs,12:00,13:25,12 h à 13 h 25,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=333,2026-03-01T20:12:13Z
Piscine municipale du Bourg-Royal,177,Lundi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Mardi,Longueurs,06:30,08:00,6 h 30 à 8 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Mardi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Mardi,Longueurs,20:00,21:30,20 h à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Mercredi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Jeudi,Longueurs,06:30,08:00,6 h 30 à 8 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Jeudi,Longueurs,11:45,13:30,11 h 45 à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Jeudi,Longueurs,20:00,21:30,20 h à 21 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine municipale du Bourg-Royal,177,Vendredi,Longueurs,12:00,13:30,12 h à 13 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=177,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Lundi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Mardi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Mardi,Longueurs,17:00,18:20,17 h à 18 h 20,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Mardi,Longueurs,21:00,22:30,21 h à 22 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Mercredi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Mercredi,Longueurs,18:30,19:55,18 h 30 à 19 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Jeudi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Sylvie-Bernier,178,Vendredi,Longueurs,06:30,08:30,6 h 30 à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=178,2026-03-01T20:12:14Z
Piscine Wilfrid-Hamel,179,Dimanche,Longueurs,07:30,09:00,7 h 30 à 9 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Dimanche,Longueurs,13:00,14:30,13 h à 14 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Lundi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Mercredi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Mercredi,Longueurs,16:30,18:15,16 h 30 à 18 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Jeudi,Longueurs,19:40,21:00,19 h 40 à 21 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Vendredi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Samedi,Longueurs,13:00,14:30,13 h à 14 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Dimanche,Longueurs,07:30,09:00,7 h 30 à 9 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Dimanche,Longueurs,13:00,14:30,13 h à 14 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Lundi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Mercredi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Mercredi,Longueurs,17:15,18:15,17 h 15 à 18 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Jeudi,Longueurs,19:40,21:00,19 h 40 à 21 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Vendredi,Longueurs,11:45,13:15,11 h 45 à 13 h 15,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
Piscine Wilfrid-Hamel,179,Samedi,Longueurs,13:00,14:30,13 h à 14 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=179,2026-03-01T20:12:15Z
YMCA St-Roch,793,Lundi,Longueurs,11:00,12:55,11 h à 12 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=793,2026-03-01T20:12:15Z
YMCA St-Roch,793,Mardi,Longueurs,07:25,08:55,7 h 25 à 8 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=793,2026-03-01T20:12:15Z
YMCA St-Roch,793,Mardi,Longueurs,19:30,21:00,19 h 30 à 21 h,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=793,2026-03-01T20:12:15Z
YMCA St-Roch,793,Mercredi,Longueurs,11:00,12:55,11 h à 12 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=793,2026-03-01T20:12:15Z
YMCA St-Roch,793,Jeudi,Longueurs,07:25,08:55,7 h 25 à 8 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=793,2026-03-01T20:12:15Z
YMCA St-Roch,793,Vendredi,Longueurs,11:00,12:30,11 h à 12 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=793,2026-03-01T20:12:15Z
YWCA Québec,164,Lundi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Lundi,Longueurs,17:00,17:55,17 h à 17 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Mardi,Longueurs,12:00,12:55,12 h à 12 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Mardi,Longueurs,20:00,20:55,20 h à 20 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Mercredi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Mercredi,Longueurs,17:00,17:55,17 h à 17 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Jeudi,Longueurs,12:00,12:55,12 h à 12 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Jeudi,Longueurs,20:00,20:55,20 h à 20 h 55,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
YWCA Québec,164,Vendredi,Longueurs,07:00,08:30,7 h à 8 h 30,https://www.ville.quebec.qc.ca/citoyens/loisirs_sports/installations_sportives/piscines_interieures/piscines_interieures_fiche.aspx?entID=164,2026-03-01T20:12:15Z
